CODE COULEUR : ,Surligné en vert : questions à Nathalie,"Surligné en bleu: modifications apportées, à valider ensemble",Surligné en jaune : pour Léa,Surligné en rose : pour Louise,Souligné : apports et corrections validés (Ctrl + u),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
uuid,mots-clefs,,,,,,,
5ac440fb-eea3-41ab-b608-3710225ec14e,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor d'église [dupliqué dans Architecture],,,,,
c9e7bca5-85dc-4435-9ccf-3a94d0461e9b,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor de palais [dupliqué dans Architecture],décor d'appartement [dupliqué dans Architecture],,,,
05349c9f-bf19-4b37-a1d7-b1e2370b61b5,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor de palais [dupliqué dans Architecture],décor de salle de bal [dupliqué dans Architecture],,,,
c56b45b8-4d0c-4689-b42f-60454a7dd097,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,ornementation,,,,,
81f88262-2fec-4a6b-aa6f-290ff6cce141,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,ornementation,piédestal [dupliqué dans Architecture et dans Sculpture],,,,
a4fc1009-5adf-47f3-8daa-771f1cfa0b26,Arts,Arts du décor [1] Remplace « décoration »,tapisserie,,,,,
60f79934-2e2b-42fa-b568-6ffe73b30c6c,Arts,Emblématique et inscriptions,,,,,,
01b98269-d20c-4b70-b693-c2e759c27bf8,Arts,Emblématique et inscriptions,devise,,,,,
2786fb88-9554-4833-9fa8-562d8821d97b,Arts,Emblématique et inscriptions,emblème,,,,,
06eba3b3-1d4c-4598-a290-81755aabc780,Arts,Emblématique et inscriptions,médaille,,,,,
61cccb7d-fb08-4b3a-8e7c-c740d9d07cc1,Arts,Gravure,,,,,,
d8affbab-71eb-4c8e-a24f-6a41bc9c07a5,Arts,Gravure,Numismatique [voir avec Louise],,,,,
e302c0b5-084b-49bd-9214-dd48425b5c2c,Arts,Littérature,,,,,,
88aacc59-bfc9-420c-bfea-079d9acb176c,Arts,Littérature,sujet,,,,,
3cf48c21-4209-4bbe-8d8b-9cff6a2f2533,Arts,Littérature,sujet,allégorique NB Remplace « allégorie »,,,,
aea4c085-0385-48af-b5be-02547836339a,Arts,Littérature,sujet,allégorique NB Remplace « allégorie »,poésie allégorique,,,
cb8a87ba-3059-4bb6-9c01-75d52b639b24,Arts,Littérature,sujet,"animalier [OK, vérifié]",,,,
764984e1-5555-4918-82fc-8e90be5def1a,Arts,Littérature,sujet,comique,,,,
23535439-cd46-4f44-9fc1-4d65cef329f0,Arts,Littérature,sujet,comique,burlesque,,,
a6bf9774-a93d-49c0-a596-c95fadfb9005,Arts,Littérature,sujet,comique,parodique,,,
3cc17c00-ed87-4997-8c97-591c3777aca6,Arts,Littérature,sujet,comique,satirique (registre),,,
7e6c0f41-ba00-4d7f-b79a-1f81544561c8,Arts,Littérature,sujet,encomiastique,,,,
a724f1cd-c58c-4748-b893-2106a282e80e,Arts,Littérature,sujet,encomiastique,poésie encomiastique [dupliqué dans Genres poétiques],,,
f13bdcd8-f5ae-4ce8-a2d3-0a3bffce7c71,Arts,Littérature,sujet,encomiastique,poésie encomiastique [dupliqué dans Genres poétiques],panégyrique en vers,,
27b610db-2c6d-4027-9cad-287117cade3c,Arts,Littérature,sujet,encomiastique,éloge,,,
a32d3d06-ebc4-4017-8923-2370faf66746,Arts,Littérature,sujet,encomiastique,éloge,éloge d'un auteur,,
bccf6c55-b21b-46e0-93ae-747b6cee1387,Arts,Littérature,sujet,encomiastique,éloge,éloge d'un prince,,
d5724931-4df0-4c9a-9698-55d00b6f25bc,Arts,Littérature,sujet,encomiastique,éloge,éloge d'un saint,,
6928f35c-c6f3-4de1-ac5e-044b7a838573,Arts,Littérature,sujet,encomiastique,éloge,éloge d'une princesse,,
6fbe621d-9e0f-4b3a-9ba8-b807d9d791a6,Arts,Littérature,sujet,encomiastique,éloge,éloge du roi,,
d488f121-3bba-423d-bb30-95df3fc84dc6,Arts,Littérature,sujet,encomiastique,éloge,éloge funèbre EP oraison funèbre,,
89c30bc2-d66b-48e1-84a5-5fee0e9ea961,Arts,Littérature,sujet,encomiastique,éloge,éloge funèbre EP oraison funèbre,éloge posthume,
930c9a1a-6c65-4dfe-9f8e-a0a4984d7653,Arts,Littérature,sujet,encomiastique,panégyrique,,,
a3070ea9-0890-423a-b9f0-8a8d8daa0040,Arts,Littérature,sujet,encomiastique,panégyrique,panégyrique d'un pape,,
14de3984-372a-4b63-91a5-3831e39d6d2e,Arts,Littérature,sujet,encomiastique,panégyrique,panégyrique d'un saint,,
6cb26a33-0e61-4ce8-95f7-39e27c00e6eb,Arts,Littérature,sujet,encomiastique,panégyrique,panégyrique du roi,,
5fad85f3-5a97-4d8f-a31e-1de39d21cfde,Arts,Littérature,sujet,funèbre,,,,
bb89f868-80e6-4af9-ad02-2444e77de7c6,Arts,Littérature,sujet,mythologique,,,,
13d20480-d9d3-4aba-a0d8-b829e7491b07,Arts,Littérature,sujet,pastoral,,,,
b68e25f0-cb8f-45cb-9d60-6d1271ee1324,Arts,Littérature,sujet,spirituel,,,,
f2d82cde-a844-4f60-8126-656897887382,Arts,Littérature,genre littéraire,,,,,
2d9b8b2a-1ce6-4d33-8be4-9b88d28f6708,Arts,Littérature,genre littéraire,genre épidictique,,,,
c00ed096-ef19-46c1-96fe-713f48fef32a,Arts,Littérature,genre littéraire,genre épidictique,compliment,,,
b7be0693-fdfa-419e-b727-9a4d6ebb4003,Arts,Littérature,genre littéraire,genre épidictique,discours NB Remplace « discours public ».,,,
4a7beb96-7cad-4f10-8a95-89d91e3fde28,Arts,Littérature,genre littéraire,genre épidictique,harangue,,,
b1e2b26d-f7fd-423a-a47a-01453367f0e5,Arts,Littérature,genre littéraire,genre épidictique,sermon,,,
a876bb18-c05e-438e-8812-8d4c2b9dcd26,Arts,Littérature,genre littéraire,genre épistolaire,,,,
28e6a06f-a69a-4408-b74e-5e642cac9199,Arts,Littérature,genre littéraire,genre épistolaire,lettre au lecteur,,,
2c2326ab-6df1-4377-8ee8-c17a5dfb6e7c,Arts,Littérature,genre littéraire,genre épistolaire,lettre en chansons,,,
caec9d8f-230a-4180-a274-c8249bb3cdf8,Arts,Littérature,genre littéraire,genre épistolaire,lettre en prose,,,
66343423-32ca-44f8-a597-45c74ba7bd2b,Arts,Littérature,genre littéraire,genre épistolaire,lettre en vers,,,
8fe34b13-7dfa-496f-9f5d-ca4c9ae172a1,Arts,Littérature,genre littéraire,genre épistolaire,lettre en vers et prose,,,
13f2ab2b-c1b3-4336-b433-1d2ec34651da,Arts,Littérature,genre littéraire,genre épistolaire,lettre spirituelle,,,
9883d0e7-746a-43c1-a201-0bf3d813424e,Arts,Littérature,genre littéraire,genre narratif,,,,
6359acc9-c543-4dcb-889c-69bc8c21bff6,Arts,Littérature,genre littéraire,genre narratif,aventure,,,
5b04d9e0-7980-42f1-a05f-6c0f09b1ac7e,Arts,Littérature,genre littéraire,genre narratif,vie NB Remplace biographie,,,
0760ef3d-4326-42b8-9f26-81c0c664edb3,Arts,Littérature,genre littéraire,genre narratif,vie NB Remplace biographie,vie d’un musicien NB Remplace « biographie d’un musicien ».,,
a74b7bf9-878a-489a-8116-cd6fc4e6354a,Arts,Littérature,genre littéraire,genre narratif,conte,,,
3d1f96a3-0bb9-4a7f-883c-8299edde3403,Arts,Littérature,genre littéraire,genre narratif,histoire galante,,,
ff19b495-a789-49ef-b454-6c0a4d046a33,Arts,Littérature,genre littéraire,genre narratif,nouvelle,,,
